id,source,title,date,description,url,earliest_deadline,deadlines,funding_amounts,emails,phone_numbers,attachments,research_field,grant_type
53,anr,Partenariat AGROECOLOGY 2026 : Favoriser la diversité génétique des plantes et des animaux d’élevage et renforcer les capacités des agriculteurs à s’engager dans la transition agroécologique,13/03/2026,"Le partenariat AGROECOLOGY, financé par l’Union Européenne dans le cadre d’Horizon Europe, réunissant la Commission Européenne et 72 partenaires de 26 pays, est un programme de recherche-innovation qui vise à accélérer la transition agroécologique en développant un réseau de laboratoires vivants (living labs) et d'infrastructures de recherche, permettant la production de solutions innovantes par une démarche multi-acteurs et une expérimentation en situation réelle.",https://anr.fr/fr/detail/call/partenariat-agroecology-2026-favoriser-la-diversite-genetique-des-plantes-et-des-animaux-delevage/,2026-01-19,"[""2026-01-19"", ""2026-02-18"", ""2026-07-08""]",[],"[""aap-agroecology@agencerecherche.fr"", ""ptj-agroecology-call-office@fz-juelich.de""]",[],"[""https://anr.fr/fileadmin/aap/2027/aap-agroeco3-2027.pdf"", ""https://anr.fr/fileadmin/aap/2027/aap-agroeco3-2027-annexe-fr.pdf""]",Informática e IA,Outro
54,anr,"Appel à projets Animal Health and Welfare ""Façonner l'avenir de la santé et du bien-être des animaux"" - EUPAHW 2027",13/03/2026,"Le partenariat européen pour la santé et le bien-être des animaux (EUPAHW) vise à garantir que les systèmes d'élevage, d'aviculture et d'aquaculture fonctionnent de manière durable, dans l'intérêt de la santé et du bien-être des animaux et de la société. L'appel transnational cofinancé 2026, qui est le deuxième appel EUPAHW, rassemble les ressources financières nationales et régionales des ministères et des organismes de financement (OF) de 24 pays, chacun étant chargé de soutenir la recherche et l'innovation, avec un cofinancement de l'Union européenne.",https://anr.fr/fr/detail/call/appel-a-projets-animal-health-and-welfare-faconner-lavenir-de-la-sante-et-du-bien-etre-des-animaux/,2026-03-10,"[""2026-03-10"", ""2026-03-30"", ""2026-09-16""]",[],"[""nuria.ruiz@agencerecherche.fr"", ""isabelle.hippolyte@agencerecherche.fr""]",[],"[""https://anr.fr/fileadmin/aap/2027/aap-eupahw-2027.pdf"", ""https://anr.fr/fileadmin/aap/2027/aap-eupahw-2027-annexe-fr.pdf""]",Ciências da Saúde,Projeto / Appel
55,anr,Belmont Forum - OCEAN 2 - Vers l'océan que nous voulons : biodiversité et durabilité des écosystèmes pour la nature et le bien-être humain,13/03/2026,"Le Belmont Forum, partenariat international d'organismes de financement de la recherche dont l'ANR est membre, lance un appel à projets dans le domaine des sciences océaniques. Cet appel, intitulé « OCEAN 2 : Towards the Ocean We Want : Biodiversity and Ecosystem Sustainability for Nature and Human Well-being », vise à coordonner des actions et des projets à travers une approche transdisciplinaire, favorisant la co-création, la co-conception et la co-implémentation de solutions innovantes pour répondre aux défis environnementaux globaux liés à l'océan, à sa biodiversité, des gènes aux écosystèmes.",https://anr.fr/fr/detail/call/belmont-forum-ocean-2-vers-locean-que-nous-voulons-biodiversite-et-durabilite-des-ecosystemes/?utm_source=Newsletter&utm_medium=Email&utm_campaign=juin-2025,2025-06-25,"[""2025-06-25"", ""2026-04-30""]",[],"[""johann.muller@anr.fr""]",[],"[""https://anr.fr/fileadmin/aap/2027/aap-belmont-ocean2-2027-fr.pdf"", ""https://anr.fr/fileadmin/aap/2027/aap-belmont-ocean2-2027-en.pdf"", ""https://anr.fr/fileadmin/aap/2027/aap-belmont-ocean2-2027-es.pdf"", ""https://anr.fr/fileadmin/aap/2027/aap-belmont-ocean2-2027-pt.pdf"", ""https://anr.fr/fileadmin/aap/2027/aap-belmont-ocean2-2027-annexe-fr-v2.pdf""]",Informática e IA,Projeto / Appel
56,anr,Pré-annonce : Coopération bilatérale JST-ANR dans le cadre du programme JST-CREST 2026,13/03/2026,"Pour l’édition 2026, l’ANR renouvelle son accord de collaboration avec l’agence japonaise pour la science et la technologie (JST) dans le cadre du programme JST-CREST. Deux domaines de recherche du CREST sont définis comme des domaines de recherche prioritaires communs :",https://anr.fr/fr/detail/call/pre-annonce-cooperation-bilaterale-jst-anr-dans-le-cadre-du-programme-jst-crest-2026/,,[],[],[],[],[],Informática e IA,Outro
57,anr,"BiodivConnect - Restauration de la fonctionnalité, de l’intégrité et de la connectivité des écosystèmes - Biodiversa+ 2025-2026",13/03/2026,"Biodiversa+ lance un nouvel appel à projets de recherche transnationaux co-financés par la Commission Européenne « BiodivConnect ». Cet appel financera une recherche inter- et transdisciplinaire sur la restauration de la fonctionnalité, de l’intégrité et de la connectivité de tous types d’écosystèmes et habitats, à travers le monde.",https://anr.fr/fr/detail/call/biodivconnect-restauration-de-la-fonctionnalite-de-lintegrite-et-de-la-connectivite-des-ecosyste/?utm_source=Newsletter&utm_medium=Email&utm_campaign=juin-2025,2025-09-19,"[""2025-09-19"", ""2025-11-07"", ""2026-04-14""]",[],"[""biodiversa.cs@agencerecherche.fr"", ""epss.biodiversa@g.etag""]",[],"[""https://anr.fr/fileadmin/aap/2026/aap-biodivconnect-2026.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-biodivconnect-2026-annexe-fr.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-biodivconnect-2026-webinaire-09112025.pdf"", ""https://www.biodiversa.eu/wp-content/uploads/2022/12/stakeholder-engagement-handbook.pdf""]",Informática e IA,Projeto / Appel
58,anr,"FutureFoodS Appel 2025 : Accélérer la durabilité alimentaire grâce à l'évolution des habitudes alimentaires des ménages, à la confiance et à la transparence, et aux innovations dans les systèmes circulaires de transformation des aliments",13/03/2026,Le partenariat européen pour un avenir durable des systèmes alimentaires (FutureFoodS) lance son deuxième appel à projets de recherche transnationaux. Cet appel est co-financé par la Commission Européenne.,https://anr.fr/fr/detail/call/futurefoods-appel-2025-accelerer-la-durabilite-alimentaire-grace-a-levolution-des-habitudes-alime/,2025-12-11,"[""2025-12-11"", ""2025-12-16"", ""2025-12-17"", ""2026-02-11"", ""2026-07-27""]",[],"[""claude.yven@anr.fr""]",[],"[""https://anr.fr/fileadmin/aap/2026/aap-futurefoods-2026.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-futurefoods-2026-annexe-fr.pdf""]",Informática e IA,Projeto / Appel
59,anr,4e édition de l’appel à projets transnational dans le cadre du Partenariat européen Driving Urban Transitions - DUT 2025,13/03/2026,"Le quatrième appel conjoint du partenariat Driving Urban Transitions (DUT), soutenu par la Commission européenne dans le cadre du programme Horizon Europe, continuité de la JPI Urban Europe, mobilise 28 pays et 67 partenaires pour soutenir l’écosystème européen d’innovation dans le champ urbain pour la quatrième année consécutive.",https://anr.fr/fr/detail/call/4e-edition-de-lappel-a-projets-transnational-dans-le-cadre-du-partenariat-europeen-driving-urban-tr/?utm_source=Newsletter&utm_medium=Email&utm_campaign=septembre-2025,2025-09-15,"[""2025-09-15"", ""2025-11-17"", ""2026-04-23""]",[],"[""call@dutpartnership.eu"", ""amina.ghorbel@agencerecherche.fr"", ""pascal.bain@agencerecherche.fr""]",[],"[""https://anr.fr/fileadmin/aap/2026/aap-dut-2026.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-dut-2026-annexe-fr.pdf""]",Informática e IA,Projeto / Appel
60,anr,ERDERA 2026 - Résoudre des cas non résolus dans des maladies génétiques et non génétiques rares grâce à la validation des variants et à de nouvelles approches technologiques,13/03/2026,"Le 2ème appel d’ERDERA vise à faire face au challenge du diagnostic dans les maladies rares. En effet, environ 50 % des patients présentant une suspicion de maladie génétique rare restent non diagnostiqués ou mal diagnostiqués malgré des soins génétiques cliniques standards. De plus, les maladies rares d'origine non génétique - représentant environ 10 % de tous les cas de maladies rares, restent un domaine peu étudié. En moyenne, il faut environ 5 ans pour établir un diagnostic précis pour un patient atteint d'une maladie rare. Étant donné la complexité de ces troubles, des approches diagnostiques multiples et complémentaires sont nécessaires.",https://anr.fr/fr/detail/call/erdera-2026-resoudre-des-cas-non-resolus-dans-des-maladies-genetiques-et-non-genetiques-rares-grac/?utm_source=Newsletter&utm_medium=Email&utm_campaign=decembre-2025,2025-12-10,"[""2025-12-10"", ""2026-02-12"", ""2026-07-08""]",[],"[""erderacall@agencerecherche.fr""]",[],"[""https://anr.fr/fileadmin/aap/2026/aap-erdera-2026.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-erdera-2026-annexe-fr.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-erdera-2026-Pre-proposal.docx"", ""https://anr.fr/fileadmin/aap/2026/aap-erdera-2026-Guidelines.pdf""]",Informática e IA,Outro
61,anr,"Second appel à projets transnational : ""Long-term Joint Europe-Africa Research and Innovation Projects on Sustainable Energy"" (LEAP-SE)",13/03/2026,"L'appel conjoint LEAP-SE 2026 est le deuxième appel du partenariat LEAP-SE, cofinancé par l’Union Européenne dans le cadre du programme Horizon Europe. Pour la France, l’ANR participe au financement de cet appel, conjointement avec LARI (La Réunion Innovation – La Réunion).",https://anr.fr/fr/detail/call/second-appel-a-projets-transnational-long-term-joint-europe-africa-research-and-innovation-projec/,2025-12-05,"[""2025-12-05"", ""2025-12-08"", ""2026-02-05"", ""2026-06-24""]",[],"[""justine.pallu@agencerecherche.fr"", ""marie-laure.tarot@agencerecherche.fr""]",[],"[""https://anr.fr/fileadmin/aap/2027/aap-leap-se-2027.pdf"", ""https://anr.fr/fileadmin/aap/2027/aap-leap-se-2027-annexe-fr.pdf""]",Informática e IA,Projeto / Appel
62,anr,"Appel à projet conjoint ""Chlordécone II : sociétés et multi exposition""",13/03/2026,"Le chlordécone est un insecticide organochloré utilisé dans le monde entier depuis les années 1960. En raison de sa forte toxicité, de sa bioamplification et de sa persistance à long terme dans l'environnement, il a été interdit en France en 1990, sauf aux Antilles françaises où il a été autorisé en application sur les sols pour lutter contre le charançon du bananier jusqu'en 1993. Au cours de plus de deux décennies d'utilisation, ce pesticide a lourdement contaminé les écosystèmes, entraînant des conséquences délétères pour l'environnement et la santé.",https://anr.fr/fr/detail/call/appel-a-projet-conjoint-chlordecone-ii-societes-et-multi-exposition/?utm_source=Newsletter&utm_medium=Email&utm_campaign=janvier-2026,2025-12-29,"[""2025-12-29"", ""2026-05-06""]",[],"[""antoine.morisot@anr.fr""]",[],"[""https://anr.fr/fileadmin/aap/2026/aap-chld2-2026.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-chld2-2026-CV.docx"", ""https://anr.fr/fileadmin/aap/2026/aap-chld2-2026-Trame.docx""]",Ciências da Saúde,Outro
63,anr,Appel à projets Transnational Conjoint Water4All 2025 « Eau et santé »,13/03/2026,Les agences de financement européennes et internationales de 30 pays lancent un appel à projets transnational pour financer des projets de recherche et d'innovation sur « Eau et santé ».,https://anr.fr/fr/detail/call/appel-a-projets-transnational-conjoint-water4all-2025-eau-et-sante/?utm_source=Newsletter&utm_medium=Email&utm_campaign=septembre-2025,2025-09-12,"[""2025-09-12"", ""2025-11-13"", ""2026-04-13""]",[],[],[],"[""https://www.water4all-partnership.eu/sites/www.water4all-partnership.eu/files/2023-02/Water4All_SRIA-2022-2025_A4_2311_bd.pdf"", ""https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/common/guidance/list-3rd-country-participation_horizon-euratom_en.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-water4all-2026.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-water4all-2026-annexe-fr.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-water4all-2026-webinaire-international.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-water4all-2026-webinaire-francais.pdf""]",Ciências da Saúde,Projeto / Appel
